"idProduto";"estoqueControlado";"barcodeProduto";"nomeProduto";"idLoja";"qtdeEstoqueMinimo";"qtdeEstoqueAtual"
"20400";"1";"7891000255445";"CRUNCH CEREAL NESTLÉ 120G";"1";"0.0000";"0.0000"
"20953";"1";"7891000115763";"FRISKIES CARNE 85G";"1";"0.0000";"0.0000"
"21102";"1";"7500435134415";"ESCOVA DENTAL ORAL B PRÓ";"1";"0.0000";"0.0000"
"21386";"1";"7622300999308";"SUCO FRESH 10G";"1";"0.0000";"0.0000"
"21387";"1";"7622300999506";"SUCO FRESH TANGERINA  10G";"1";"0.0000";"0.0000"
"21388";"1";"7622300999131";"SUCO FRESH ABACAXI 10G";"1";"0.0000";"0.0000"
"21389";"1";"7622300999544";"SUCO FRESH UVA 10G";"1";"0.0000";"0.0000"
"21390";"1";"7622300999469";"SUCO FRESH MORANGO 10G";"1";"0.0000";"0.0000"
"21702";"1";"7622300999261";"SUCO FRESH GUARANA 10G";"1";"0.0000";"0.0000"
"21703";"1";"7622300999223";"SUCO FRESH CAJU 10G";"1";"0.0000";"0.0000"
"21954";"1";"7622300999384";"SUCO FRESH MANGA 10G";"1";"0.0000";"0.0000"
"21955";"1";"7622300999421";"SUCO FRESH MARACUJA 10G";"1";"0.0000";"0.0000"
